src,dst,weight
31,568,0.9074572324752808
31,493,0.9051215648651123
31,80,0.9050120115280151
31,426,0.9050120115280151
31,443,0.9032728672027588
31,488,0.9031282067298889
31,44,0.8871486783027649
31,54,0.8904842734336853
31,110,0.893754243850708
31,206,0.8748692870140076
31,207,0.8637082576751709
31,278,0.8699546456336975
31,292,0.8871062994003296
31,322,0.8468068838119507
31,396,0.7808456420898438
31,527,0.8054795861244202
31,569,0.8808317184448242
32,176,0.9237921833992004
32,85,0.9140318036079407
32,585,0.909225344657898
32,477,0.8844038248062134
32,415,0.8775417804718018
32,494,0.8718422055244446
32,296,0.8710162043571472
32,52,0.8637615442276001
32,268,0.8623991012573242
32,476,0.8623518943786621
32,269,0.8604698777198792
32,167,0.8008803725242615
32,168,0.8008803725242615
32,334,0.8517266511917114
33,422,0.8776916265487671
33,265,0.8557679057121277
33,151,0.8546870350837708
33,443,0.8504049777984619
33,569,0.8459211587905884
33,383,0.8457764983177185
33,179,0.8450533151626587
33,233,0.8426238298416138
33,161,0.8385975360870361
33,439,0.8385412096977234
33,226,0.8381103277206421
33,167,0.7817335724830627
33,168,0.7817335724830627
33,267,0.8361898064613342
33,535,0.8242354989051819
34,557,0.9149355888366699
34,355,0.8665288686752319
34,194,0.8422715067863464
34,301,0.8338419198989868
34,384,0.833240807056427
34,533,0.8202361464500427
34,313,0.819175660610199
34,278,0.8144323825836182
34,231,0.8115891814231873
34,86,0.809990644454956
34,354,0.8059326410293579
34,185,0.7860398292541504
35,225,0.9025839567184448
35,374,0.9025839567184448
35,484,0.8941638469696045
35,286,0.8929879665374756
35,127,0.8913873434066772
35,477,0.8839811682701111
35,299,0.8822898864746094
35,572,0.8822694420814514
35,518,0.8819746971130371
35,371,0.8816211819648743
35,204,0.8805222511291504
35,48,0.8575259447097778
35,120,0.8500654697418213
35,357,0.8062264323234558
35,387,0.7494961023330688
35,516,0.8240991830825806
36,427,0.877188503742218
36,479,0.8727916479110718
36,534,0.8695492744445801
36,242,0.860698401927948
36,240,0.860698401927948
36,243,0.860698401927948
36,70,0.860698401927948
36,247,0.8605864644050598
36,458,0.8597598075866699
36,437,0.857657253742218
36,383,0.855200469493866
36,47,0.8339715003967285
36,210,0.8233625888824463
36,223,0.8341596126556396
36,254,0.8452609181404114
36,376,0.8284398913383484
36,400,0.8192562460899353
36,414,0.852629542350769
36,438,0.8322863578796387
36,554,0.8435243368148804
36,567,0.850464403629303
37,502,0.885191023349762
37,501,0.8808056116104126
37,470,0.8748457431793213
37,542,0.8713217377662659
37,356,0.8681489825248718
37,466,0.8664458394050598
37,224,0.8661718964576721
37,106,0.8660667538642883
37,388,0.865657389163971
37,436,0.8634793758392334
37,100,0.8621372580528259
37,381,0.8605523109436035
37,173,0.8509435653686523
37,369,0.778963029384613
37,561,0.8496027588844299
38,309,0.9528740644454956
38,399,0.9097557663917542
38,398,0.907353937625885
38,130,0.8887069821357727
38,465,0.8823933005332947
38,279,0.8823933005332947
38,252,0.8801213502883911
38,281,0.8767120242118835
38,584,0.8610352277755737
38,330,0.8601253628730774
38,174,0.8600062727928162
38,489,0.8580037951469421
38,198,0.8534091711044312
39,434,0.8109704852104187
39,517,0.8096880912780762
39,81,0.7953769564628601
39,144,0.7888184785842896
39,104,0.7802523970603943
39,221,0.7688868641853333
39,403,0.7670655846595764
39,234,0.7662524580955505
39,233,0.7653642296791077
39,289,0.7651531100273132
39,424,0.7594583630561829
39,383,0.7586369514465332
40,497,0.9101905822753906
40,257,0.9094910621643066
40,103,0.9058732986450195
40,443,0.9051687121391296
40,457,0.8996391892433167
40,577,0.8963032960891724
40,409,0.8945598602294922
40,450,0.8909957408905029
40,42,0.8889586925506592
40,171,0.8888851404190063
40,228,0.8880811333656311
40,95,0.8840366005897522
41,490,0.93915194272995
41,371,0.9209635257720947
41,346,0.9153575897216797
41,388,0.9147878289222717
41,344,0.9134578704833984
41,505,0.9097924828529358
41,367,0.9093729853630066
41,82,0.9035608768463135
41,501,0.9035283923149109
41,112,0.9030566811561584
41,451,0.901730477809906
41,42,0.9006500840187073
41,50,0.8488729596138
41,56,0.8612405061721802
41,89,0.8498140573501587
41,174,0.888738751411438
41,214,0.881462037563324
41,276,0.8447024822235107
41,298,0.8868228793144226
41,309,0.8775659799575806
41,419,0.889675498008728
41,433,0.8395462036132812
41,448,0.8453648686408997
41,495,0.8824964761734009
41,506,0.8641030788421631
41,508,0.8791507482528687
41,511,0.8843029141426086
41,564,0.8616059422492981
42,500,0.9603773355484009
42,270,0.9448397755622864
42,509,0.9432624578475952
42,82,0.9419915676116943
42,492,0.9371766448020935
42,501,0.9338189363479614
42,518,0.9322055578231812
42,84,0.9289582967758179
42,171,0.928081214427948
42,570,0.9260572791099548
42,371,0.9248478412628174
42,100,0.9241827726364136
42,43,0.9096283316612244
42,78,0.8516892790794373
42,92,0.9006695747375488
42,106,0.902358889579773
42,126,0.8439347147941589
42,172,0.8831176161766052
42,177,0.8974635601043701
42,193,0.8795695304870605
42,201,0.907898485660553
42,218,0.8135018944740295
42,324,0.8854395747184753
42,325,0.8865543603897095
42,329,0.9141335487365723
42,346,0.9227317571640015
42,389,0.8998138904571533
42,411,0.8305339217185974
42,423,0.8975550532341003
42,470,0.9075843095779419
42,471,0.8699031472206116
42,472,0.8663854598999023
42,482,0.9030221700668335
